class_name;class_smarts
1,2,4-THIADIAZOLE;Brc1ncsn1
1,2,4-THIADIAZOLE;Clc1ncns1
1,2,4-triazine;Brc1nnccn1
1,2,4-triazine;Brc1nncnc1
1,2,4-triazine;Ic1nnccn1
1,2,5-THIADIAZOLE;n1sncc1Br
1,2,5-THIADIAZOLE;n1sncc1Cl
1,2,5-THIADIAZOLE;n1sncc1I
1,3,4-OXADIAZOLE;n1ncoc1Br
1,3,4-THIADIAZOLE;n1ncsc1Br
1,3,5-triazine;Ic1ncncn1
1H-1,2,3-TRIAZOLE;Brc1cnnn1
1H-1,2,3-TRIAZOLE;c1c(Br)nnn1
1H-1,2,3-TRIAZOLE;Ic1cnnn1
1H-1,2,3-TRIAZOLE;c1c(I)nnn1
1H-1,2,4-TRIAZOLE;Brc1ncnn1
1H-1,2,4-TRIAZOLE;c1nc(Br)nn1
1H-1,2,4-TRIAZOLE;Ic1ncnn1
1H-1,2,4-TRIAZOLE;c1nc(I)nn1
2H-1,2,3-TRIAZOLE;Brc1nnnc1
2H-1,2,3-TRIAZOLE;Ic1nnnc1
4H-1,2,4-TRIAZOLE;Brc1nncn1
4H-1,2,4-TRIAZOLE;Ic1nncn1
benzoIn5m1het;Ic1ccc2nccc2c1
benzoIn5m1het;Ic1cccc2cc[nH]c12
benzoIn5m1het;Brc1ccc2[nH]ccc2c1
benzoIn5m1het;Brc1cccc2[nH]ccc12
benzoIn5m1het;Brc1ccc2nccc2c1
benzoIn5m1het;Brc1ccc2occc2c1
benzoIn5m1het;Brc1cccc2ccoc12
benzoIn5m1het;Brc1ccc2ccnc2c1
benzoIn5m1het;Brc1ccc2cc[nH]c2c1
benzoIn5m1het;Brc1cccc2nccc12
benzoIn5m1het;Brc1ccc2sccc2c1
benzoIn5m1het;Ic1cccc2ccsc12
benzoIn5m1het;Ic1cccc2nccc12
benzoIn5m1het;Brc1cccc2cc[nH]c12
benzoIn5m1het;Ic1ccc2[nH]ccc2c1
benzoIn5m1het;Brc1c[se]c2ccccc12
benzoIn5m1het;Brc1cccc2ccnc12
benzoIn5m1het;Clc1ccc2nccc2c1
benzoIn5m1het;Clc1ccc2ccnc2c1
benzoIn5m1het;Brc1ccc2ccoc2c1
benzoIn5m1het;Brc1cccc2ccsc12
benzoIn5m1het;Ic1ccc2ccnc2c1
benzoIn5m1het;Brc1cccc2sccc12
benzoIn5m1het;Brc1ccc2ccsc2c1
benzoIn5m1het;Ic1cccc2sccc12
benzoIn5m1het;Ic1c[se]c2ccccc12
benzoIn5m1het;Ic1ccc(I)c2sccc12
benzoIn5m1het;Brc1cccc2occc12
benzoIn5m1het;Brc1ccc(Br)c2sccc12
benzoIn5m1het;Ic1cccc2ccnc12
benzoIn5m1het;Ic1ccc2ccoc2c1
benzoIn5m1het;Ic1cccc2ccoc12
benzoIn5m1het;Brc1ccc2cncc2c1
benzoIn5m1het;Ic1ccc2cc[nH]c2c1
benzoIn5m2het;Ic1cccc2cnoc12
benzoIn5m2het;Brc1ccc2cn[nH]c2c1
benzoIn5m2het;Brc1cccc2[nH]cnc12
benzoIn5m2het;Brc1ccc2nncc2c1
benzoIn5m2het;Brc1ccc2ncsc2c1
benzoIn5m2het;Ic1cccc2nncc12
benzoIn5m2het;Brc1ccc2[nH]ncc2c1
benzoIn5m2het;Brc1ccc2cnnc2c1
benzoIn5m2het;Brc1cccc2[nH]ncc12
benzoIn5m2het;Brc1cccc2nncc12
benzoIn5m2het;Brc1ccc2ncnc2c1
benzoIn5m2het;Ic1cccc2cn[nH]c12
benzoIn5m2het;Brc1cccc2cnnc12
benzoIn5m2het;Brc1ccc2oncc2c1
benzoIn5m2het;Brc1ccc2[nH]cnc2c1
benzoIn5m2het;Brc1ccc2ocnc2c1
benzoIn5m2het;Brc1cccc2ocnc12
benzoIn5m2het;Ic1cccc2[nH]cnc12
benzoIn5m2het;Brc1cccc2scnc12
benzoIn5m2het;Brc1cccc2ncnc12
benzoIn5m2het;Ic1cccc2[nH]ncc12
benzoIn5m2het;Brc1ccc2nc[nH]c2c1
benzoIn5m2het;Ic1ccc2nncc2c1
benzoIn5m2het;Ic1cccc2cnnc12
benzoIn5m2het;Brc1ccc2ncoc2c1
benzoIn5m2het;Ic1ccc2ncnc2c1
benzoIn5m2het;Ic1cccc2ncnc12
benzoIn5m2het;Brc1ccc(Br)c2scnc12
benzoIn5m2het;Ic1ccc2cn[nH]c2c1
benzoIn5m2het;Brc1ccc2scnc2c1
benzoIn5m2het;Brc1ccc2[nH]coc2c1
benzoIn5m3het;Brc1cccc2nsnc12
benzoIn5m3het;Brc1ccc(Br)c2nsnc12
benzoIn5m3het;Brc1ccc2onnc2c1
benzoIn5m3het;Brc1cccc2nnnc12
benzoIn5m3het;Brc1ccc2nn[nH]c2c1
benzoIn5m3het;Brc1ccc2nsnc2c1
benzoIn5m3het;Brc1ccc2nonc2c1
benzoIn5m3het;Brc1cccc2nonc12
benzoIn5m3het;Brc1ccc(Br)c2nnnc12
benzoIn5m3het;Brc1ccc2nnnc2c1
benzoin6m1N;Brc1cccc2ncccc12
benzoin6m1N;Brc1ccc2ncccc2c1
benzoin6m1N;Brc1ccc2cccnc2c1
benzoin6m1N;Brc1cccc2cccnc12
benzoin6m1N;Brc1cccc2cnccc12
benzoin6m1N;Brc1ccc2cnccc2c1
benzoin6m1N;Brc1ccc2ccncc2c1
benzoin6m1N;Ic1ccc2ncccc2c1
benzoin6m1N;Ic1cccc2ncccc12
benzoin6m1N;Brc1ccc2[nH]cccc2c1
benzoin6m1N;Brc1cc(Br)c2cccnc2c1
benzoin6m1N;Brc1cccc2ccncc12
benzoin6m1N;Ic1cccc2cccnc12
benzoin6m1N;Ic1ccc2cccnc2c1
benzoin6m1N;Brc1cc(Br)c2ncccc2c1
benzoin6m1N;Brc1ccc2ccc[nH]c2c1
benzoin6m1N;Clc1ccc2cccnc2c1
benzoin6m1N;Brc1cccc2ccc[nH]c12
benzoin6m1N;Brc1cccc2c[n+]ccc12
benzoin6m1N;Brc1ccc2cc[nH]cc2c1
benzoIn6m2N;Brc1ccc(Br)c2nccnc12
benzoIn6m2N;Brc1ccc2nnccc2c1
benzoIn6m2N;Brc1cccc2nccnc12
benzoIn6m2N;Brc1ccc2ncncc2c1
benzoIn6m2N;Ic1ccc2ncncc2c1
benzoIn6m2N;Brc1cccc2ccnnc12
benzoIn6m2N;Ic1cccc2nccnc12
benzoIn6m2N;Brc1cc2nccnc2cc1Br
benzoIn6m2N;Brc1ccc2cncnc2c1
benzoIn6m2N;Brc1cccc2cncnc12
benzoIn6m2N;Brc1ccc2nccnc2c1
benzoIn6m2N;Brc1ccc2nc[nH]cc2c1
benzoIn6m2N;Ic1ccc2ccnnc2c1
benzoIn6m2N;Brc1ccc2ncc[nH+]c2c1
benzoIn6m2N;Brc1ccc2[nH+]ccnc2c1
benzoIn6m2N;Ic1cccc2cncnc12
benzoIn6m2N;Ic1cccc2ccnnc12
benzoIn6m2N;Brc1ccc2cnc[nH]c2c1
benzoIn6m2N;Brc1ccc2[nH]cncc2c1
benzoIn6m2N;Brc1cccc2c[nH]cnc12
benzoIn6m3N;Ic1ccc2[nH+]ncnc2c1
benzoIn6m3N;Brc1ccc2ncnnc2c1
benzoIn6m3N;Brc1ccc2nncnc2c1
benzoIn6m3N;Brc1ccc2ncn[nH+]c2c1
FURANS AND BENZOFURANS;Brc1ccco1
FURANS AND BENZOFURANS;c1c(I)cco1
FURANS AND BENZOFURANS;Ic1cc2aaaac2o1
FURANS AND BENZOFURANS;c1c(I)c2:a:a:a:a:c2o1
FURANS AND BENZOFURANS;c1c(Br)cco1
FURANS AND BENZOFURANS;c1c(Br)c2:a:a:a:a:c2o1
FURANS AND BENZOFURANS;Brc1cc2aaaac2o1
FURANS AND BENZOFURANS;Ic1ccco1
IMIDAZOLE AND BENZIMIDAZOLE;Ic1cnc2aaaan12
IMIDAZOLE AND BENZIMIDAZOLE;Brc1nc2aaaac2n1
IMIDAZOLE AND BENZIMIDAZOLE;Brc1ncc2aaaan12
IMIDAZOLE AND BENZIMIDAZOLE;Ic1cncn1
IMIDAZOLE AND BENZIMIDAZOLE;Brc1cncn1
IMIDAZOLE AND BENZIMIDAZOLE;Ic1nc2aaaac2n1
IMIDAZOLE AND BENZIMIDAZOLE;Brc1cn2aaaac2n1
IMIDAZOLE AND BENZIMIDAZOLE;Brc1cnc2aaaan12
IMIDAZOLE AND BENZIMIDAZOLE;Brc1nccn1
IMIDAZOLE AND BENZIMIDAZOLE;Ic1nccn1
IMIDAZOLE AND BENZIMIDAZOLE;Brc1c2aaaan2cn1
IMIDAZOLE AND BENZIMIDAZOLE;Clc1cn2aaaac2n1
IMIDAZOLE AND BENZIMIDAZOLE;Ic1c2aaaan2cn1
ISOOXAZOLE;c1c(I)cno1
ISOOXAZOLE;Brc1ccno1
ISOOXAZOLE;c1c(Br)cno1
ISOOXAZOLE;c1cc(Cl)no1
ISOOXAZOLE;c1cc(Br)no1
ISOTHIAZOLE AND ISOBENZOTHIAZOLE;c1cc(Br)ns1
ISOTHIAZOLE AND ISOBENZOTHIAZOLE;c1c(Br)cns1
ISOTHIAZOLE AND ISOBENZOTHIAZOLE;c1c(I)cns1
ISOTHIAZOLE AND ISOBENZOTHIAZOLE;Brc1snc2:a:a:a:a:c12
ISOTHIAZOLE AND ISOBENZOTHIAZOLE;Ic1ccns1
ISOTHIAZOLE AND ISOBENZOTHIAZOLE;c1cc(I)ns1
ISOTHIAZOLE AND ISOBENZOTHIAZOLE;Brc1ccns1
ISOTHIAZOLE AND ISOBENZOTHIAZOLE;c1cc(Cl)ns1
OXAZOLE AND BENZOXAZOLE;Ic1cocn1
OXAZOLE AND BENZOXAZOLE;Ic1ncco1
OXAZOLE AND BENZOXAZOLE;Ic1cnco1
OXAZOLE AND BENZOXAZOLE;Brc1cnco1
OXAZOLE AND BENZOXAZOLE;Brc1cocn1
OXAZOLE AND BENZOXAZOLE;Brc1ncco1
PYRAZINE;Brc1cnccn1
PYRAZINE;Ic1cnccn1
PYRAZOLE AND BENZOPYRAZOLE;c1c(Br)cnn1
PYRAZOLE AND BENZOPYRAZOLE;Brc1cnn2aaaac12
PYRAZOLE AND BENZOPYRAZOLE;Ic1nncc1
PYRAZOLE AND BENZOPYRAZOLE;Ic1ccnn1
PYRAZOLE AND BENZOPYRAZOLE;Brc1ccnn1
PYRAZOLE AND BENZOPYRAZOLE;Ic1nnc2aaaac12
PYRAZOLE AND BENZOPYRAZOLE;Ic1c2aaaac2nn1
PYRAZOLE AND BENZOPYRAZOLE;Brc1c2aaaac2nn1
PYRAZOLE AND BENZOPYRAZOLE;Ic1cnn2aaaac12
PYRAZOLE AND BENZOPYRAZOLE;c1c(I)cnn1
PYRAZOLE AND BENZOPYRAZOLE;Clc1ccnn1
PYRAZOLE AND BENZOPYRAZOLE;c1c(Cl)cnn1
PYRAZOLE AND BENZOPYRAZOLE;Clc1c2aaaac2nn1
PYRIDAZINE;Brc1cnncc1
PYRIDAZINE;Ic1cccnn1
PYRIDAZINE;Brc1cccnn1
PYRIDAZINE;Ic1cnncc1
PYRIDINES;Brc1cnccc1
PYRIDINES;Clc1ccccn1
PYRIDINES;Ic1ccncc1
PYRIDINES;Clc1cnccc1
PYRIDINES;Ic1ccccn1
PYRIDINES;Brc1ccncc1
PYRIDINES;Brc1ccccn1
PYRIDINES;Ic1cnccc1
PYRIDINES;Clc1ccncc1
PYRIMIDINE;Brc1cncnc1
PYRIMIDINE;Brc1ncccn1
PYRIMIDINE;Ic1ccncn1
PYRIMIDINE;Ic1ncccn1
PYRIMIDINE;Ic1cncnc1
PYRIMIDINE;Brc1ccncn1
PYRROLE AND INDOLE;Brc1cc2aaaac2n1
PYRROLE AND INDOLE;Ic1cccn1
PYRROLE AND INDOLE;c1c(I)c2:a:a:a:a:c2n1
PYRROLE AND INDOLE;Clc1cc2aaaac2n1
PYRROLE AND INDOLE;c1c(I)ccn1
PYRROLE AND INDOLE;c1c(Br)c2:a:a:a:a:c2n1
PYRROLE AND INDOLE;Brc1cccn1
PYRROLE AND INDOLE;c1c(Br)ccn1
PYRROLE AND INDOLE;Ic1cc2aaaac2n1
PYRROLE AND INDOLE;c1c(Cl)ccn1
PYRROLE AND INDOLE;c1c(Cl)c2:a:a:a:a:c2n1
PYRROLE AND INDOLE;Clc1cccn1
TETRAZOLE;Brc1nnnn1
THIAZOLE AND BENZOTHIAZOLE;Brc1nc2aaaac2s1
THIAZOLE AND BENZOTHIAZOLE;Brc1nccs1
THIAZOLE AND BENZOTHIAZOLE;Brc1cncs1
THIAZOLE AND BENZOTHIAZOLE;Brc1cscn1
THIAZOLE AND BENZOTHIAZOLE;Ic1cncs1
THIAZOLE AND BENZOTHIAZOLE;Ic1nc2aaaac2s1
THIAZOLE AND BENZOTHIAZOLE;Clc1cscn1
THIAZOLE AND BENZOTHIAZOLE;Clc1cncs1
THIAZOLE AND BENZOTHIAZOLE;Ic1cscn1
THIAZOLE AND BENZOTHIAZOLE;Ic1nccs1
THIOPHENE AND BENZOTHIOPHENE;Brc1cccs1
THIOPHENE AND BENZOTHIOPHENE;c1c(Br)ccs1
THIOPHENE AND BENZOTHIOPHENE;Ic1cccs1
THIOPHENE AND BENZOTHIOPHENE;Clc1cccs1
THIOPHENE AND BENZOTHIOPHENE;Ic1cc2aaaac2s1
THIOPHENE AND BENZOTHIOPHENE;Brc1cc2aaaac2s1
THIOPHENE AND BENZOTHIOPHENE;c1c(Br)c2:a:a:a:a:c2s1
THIOPHENE AND BENZOTHIOPHENE;c1c(I)c2:a:a:a:a:c2s1
THIOPHENE AND BENZOTHIOPHENE;c1c(Cl)ccs1
with selenide;Brc1ccc[Se]1
chromene;O=c1occ2cccc([Br,I])c2c1
chromene;O=c1occ2ccc([Br,I])cc2c1
chromene;O=c1occ2cc([Br,I])ccc2c1
chromene;O=c1occ2c([Br,I])cccc2c1
chromene;O=c1ccc2cccc([Br,I])c2o1
chromene;O=c1ccc2ccc([Br,I])cc2o1
chromene;O=c1ccc2cc([Br,I])ccc2o1
chromene;O=c1ccc2c([Br,I])cccc2o1
chromene;O=c1ccoc2cccc([Br,I])c12
chromene;O=c1ccoc2ccc([Br,I])cc12
chromene;O=c1ccoc2cc([Br,I])ccc12
chromene;O=c1ccoc2c([Br,I])cccc12
chromene;O=c1occc2cccc([Br,I])c12
chromene;O=c1occc2ccc([Br,I])cc12
chromene;O=c1occc2cc([Br,I])ccc12
chromene;O=c1occc2c([Br,I])cccc12
aryl;Brc1ccccc1
